03/26/2025 12:00:00;8;1
03/26/2025 12:01:22;1;1
03/26/2025 12:01:30;4;1
03/26/2025 12:01:45;1;5
03/26/2025 12:01:55;2;1
03/26/2025 12:02:03;2;3
03/26/2025 12:02:05;1;3
03/26/2025 12:02:15;9;1
03/26/2025 12:02:20;4;8
03/26/2025 12:02:22;8;5
03/26/2025 12:02:30;9;5
03/26/2025 12:02:37;1;3
03/26/2025 12:02:45;7;1
03/26/2025 12:02:53;10;1
03/26/2025 12:03:03;9;8
03/26/2025 12:03:14;4;2
03/26/2025 12:03:20;8;8
03/26/2025 12:03:26;7;6
03/26/2025 12:03:34;8;10
03/26/2025 12:03:37;2;4
03/26/2025 12:03:47;1;6
03/26/2025 12:03:58;4;2
