03/25/2025 12:00:00;1;1
03/25/2025 12:01:22;2;1
03/25/2025 12:01:30;1;5
03/25/2025 12:01:45;3;1
03/25/2025 12:01:55;2;8
03/25/2025 12:02:03;4;1
03/25/2025 12:02:05;2;6
03/25/2025 12:02:15;5;1
03/25/2025 12:02:20;6;1
03/25/2025 12:02:22;1;2
03/25/2025 12:02:30;1;3
03/25/2025 12:02:37;3;3
03/25/2025 12:02:45;7;1
03/25/2025 12:02:53;2;2
03/25/2025 12:03:03;4;2
03/25/2025 12:03:14;2;4
03/25/2025 12:03:20;6;7
03/25/2025 12:03:26;1;6
03/25/2025 12:03:34;2;10
03/25/2025 12:03:37;3;3
03/25/2025 12:03:47;2;9
03/25/2025 12:03:58;1;5
